First Name,Last Name,DOB,Money Available,Flights Purchased,MinerAir Membership,Username,Password
Brittany,Nielsen,1/7/60,9452.38,0,false,brittanynielsen,Fun!23
Rodney,Moss,6/9/80,4610.38,0,true,rodneymoss,Fun!23
Paul,Harmon,1/4/34,5449.52,0,true,paulharmon,Fun!23
Jennifer,Schneider,4/6/91,13425.29,0,true,jenniferschneider,Fun!23
Stephanie,Obrien,4/6/22,10275.26,0,true,stephanieobrien,Fun!23
Micheal,Sanders,7/11/61,3891.93,0,false,michealsanders,Fun!23
Robert,Wang,4/20/48,10716.66,0,true,robertwang,Fun!23
Matthew,Khan,11/3/59,11254.68,0,false,matthewkhan,Fun!23
Melanie,Kirk,6/16/47,12829.96,0,true,melaniekirk,Fun!23
Danielle,Dorsey,1/11/16,6709.54,0,true,danielledorsey,Fun!23
Angela,Carney,1/26/29,3467.53,0,false,angelacarney,Fun!23
Jessica,Moore,2/9/63,4823.37,0,true,jessicamoore,Fun!23
Victoria,Martin,2/28/21,8016.42,0,false,victoriamartin,Fun!23
David,Cox,6/2/68,14109.04,0,false,davidcox,Fun!23
Laurie,Johnson,10/18/28,11631.89,0,true,lauriejohnson,Fun!23
Christopher,Craig,1/30/36,7683.08,0,true,christophercraig,Fun!23
Alexandra,Robinson,2/10/77,12522.73,0,false,alexandrarobinson,Fun!23
Kevin,Boone,4/27/53,3620.32,0,false,kevinboone,Fun!23
Doris,Mercado,4/10/19,8498.83,0,true,dorismercado,Fun!23
Denise,Williams,8/29/00,12469.82,0,true,denisewilliams,Fun!23
Christina,Walker,5/3/81,6573.61,0,false,christinawalker,Fun!23
Kimberly,Garcia,6/1/79,8584.42,0,false,kimberlygarcia,Fun!23
Martha,Perry,3/9/46,12269.4,0,false,marthaperry,Fun!23
Heidi,Barker,8/28/62,6350.22,0,true,heidibarker,Fun!23
Mary,Anderson,10/17/60,3908.45,0,false,maryanderson,Fun!23
Sheila,Lewis,9/12/74,11772.31,0,true,sheilalewis,Fun!23
Enrique,Rico,3/26/18,3597.56,0,false,enriquerico,Fun!23
Gary,Park,3/3/68,5535.53,0,true,garypark,Fun!23
Ray,Huynh,7/11/88,8884.31,0,false,rayhuynh,Fun!23
Elizabeth,Castillo,7/15/13,4725.51,0,false,elizabethcastillo,Fun!23
